"","Formula","modformula","In","Tl","La","Sr","Mn","Ni","Ru","Pd","Hf","Cs","Sc","Co","Si","Fe","Li","Cl","Yb","Te","N","Ti","Cd","Zr","Y","Ga","Cr","Pr","Tm","Br","Ca","Mg","Rb","Au","Nd","Ce","Ho","I","Ba","Se","Pb","Ge","Gd","Tb","Dy","Cu","Na","Sb","Bi","P","As","Sm","Zn","Al","Sn","Ag","Nb","Mo","V","S","K","Lu","O","Eu","Ta","B","Er","temperature(K)","seebeck_coefficient(μV/K)","electrical_conductivity(S/m)","thermal_conductivity(W/mK)","power_factor(W/mK2)","ZT","reference","sum_elements"
"20","BiSb(Se0.98Br0.02)3","BiSbSe2.94Br0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.012000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5880000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20000000000000004","0.20000000000000004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","-173.0","16702.0","0.58","0.0005","0.42","10.1002/adfm.201806558","1.0000000000000002"
"21","BiSb(Se0.98Br0.02)3","BiSbSe2.94Br0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.012000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5880000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20000000000000004","0.20000000000000004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","600.0","-190.0","15000.0","0.56","0.00054","0.58","10.1002/adfm.201806558","1.0000000000000002"
"22","BiSb(Se0.98Br0.02)3","BiSbSe2.94Br0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.012000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5880000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20000000000000004","0.20000000000000004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","700.0","-208.0","13776.0","0.53","0.0006","0.79","10.1002/adfm.201806558","1.0000000000000002"
"23","BiSb(Se0.98Br0.02)3","BiSbSe2.94Br0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.012000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5880000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20000000000000004","0.20000000000000004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","800.0","-229.0","12128.0","0.48","0.00064","1.06","10.1002/adfm.201806558","1.0000000000000002"
"24","Cu2.025Cd0.975SnSe4","Cu2.025Cd0.975SnSe4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.121875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.253125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300.0","173.0","5362.0","2.67","0.00016","0.02","10.1002/adma.200900409","1.0"
"25","Cu2.025Cd0.975SnSe4","Cu2.025Cd0.975SnSe4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.121875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.253125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","350.0","176.0","5862.0","2.24","0.00018","0.03","10.1002/adma.200900409","1.0"
"26","Cu2.025Cd0.975SnSe4","Cu2.025Cd0.975SnSe4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.121875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.253125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","400.0","179.0","6175.0","1.88","0.0002","0.04","10.1002/adma.200900409","1.0"
"27","Cu2.025Cd0.975SnSe4","Cu2.025Cd0.975SnSe4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.121875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.253125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","450.0","183.0","6552.0","1.56","0.00022","0.06","10.1002/adma.200900409","1.0"
"28","Cu2.025Cd0.975SnSe4","Cu2.025Cd0.975SnSe4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.121875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.253125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","186.0","6793.0","1.31","0.00024","0.09","10.1002/adma.200900409","1.0"
"29","Cu2.025Cd0.975SnSe4","Cu2.025Cd0.975SnSe4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.121875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.253125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","550.0","191.0","7069.0","1.13","0.00026","0.13","10.1002/adma.200900409","1.0"
