Unnamed: 0,Formula,modformula,In,Tl,La,Sr,Mn,Ni,Ru,Pd,Hf,Cs,Sc,Co,Si,Fe,Li,Cl,Yb,Te,N,Ti,Cd,Zr,Y,Ga,Cr,Pr,Tm,Br,Ca,Mg,Rb,Au,Nd,Ce,Ho,I,Ba,Se,Pb,Ge,Gd,Tb,Dy,Cu,Na,Sb,Bi,P,As,Sm,Zn,Al,Sn,Ag,Nb,Mo,V,S,K,Lu,O,Eu,Ta,B,Er,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,sum_elements
5134,Ag0.97Cr0.97Sb0.03Se2,Ag0.97Cr0.97Sb0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,703,150,15772,0.41,,,,1
5135,Ag0.97Cr0.97Sb0.03Se2,Ag0.97Cr0.97Sb0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,753,172,12983,0.41,,,,1
5136,Ag0.97Cr0.95Sb0.05Se2,Ag0.97Cr0.95Sb0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,303,83,20889,0.61,,,,1
5137,Ag0.97Cr0.95Sb0.05Se2,Ag0.97Cr0.95Sb0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,403,96,12240,0.52,,,,1
5138,Ag0.97Cr0.95Sb0.05Se2,Ag0.97Cr0.95Sb0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,503,119,9792,0.51,,,,1
5139,Ag0.97Cr0.95Sb0.05Se2,Ag0.97Cr0.95Sb0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,603,136,10491,0.49,,,,1
5140,Ag0.97Cr0.95Sb0.05Se2,Ag0.97Cr0.95Sb0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,703,168,9109,0.46,,,,1
5141,Ag0.97Cr0.95Sb0.05Se2,Ag0.97Cr0.95Sb0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,753,200,6743,0.5,,,,1
5142,Ag0.97Cr0.99Bi0.01Se2,Ag0.97Cr0.99Bi0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,303,78,22488,0.53,,,,1
5143,Ag0.97Cr0.99Bi0.01Se2,Ag0.97Cr0.99Bi0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,403,93,16549,0.46,,,,1
5144,Ag0.97Cr0.99Bi0.01Se2,Ag0.97Cr0.99Bi0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,503,112,12368,0.45,,,,1
5145,Ag0.97Cr0.99Bi0.01Se2,Ag0.97Cr0.99Bi0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,603,125,12082,0.4,,,,1
